GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
42001,2000,Adams County,Pennsylvania,91292,7.12,7791,23.15,509,42704,110100,22.1,93.72,1.15,3.64,0.18,0.49,0.02,0.72,0.09,412,190,2.44,5.29,0,0,0
42001,2001,Adams County,Pennsylvania,91292,7.12,7877,23.15,509,42704,110100,22.1,93.72,1.15,3.64,0.18,0.49,0.02,0.72,0.09,395,198,2.51,5.01,0,0,0
42001,2002,Adams County,Pennsylvania,91292,7.12,7962,23.15,509,42704,110100,22.1,93.72,1.15,3.64,0.18,0.49,0.02,0.72,0.09,348,206,2.59,4.37,0,0,0
42001,2003,Adams County,Pennsylvania,91292,7.12,8047,23.15,509,42704,110100,22.1,93.72,1.15,3.64,0.18,0.49,0.02,0.72,0.09,398,225,2.8,4.95,0,0,0
42001,2004,Adams County,Pennsylvania,91292,7.12,8133,23.15,509,42704,110100,22.1,93.72,1.15,3.64,0.18,0.49,0.02,0.72,0.09,375,199,2.45,4.61,0,0,0
42001,2005,Adams County,Pennsylvania,101011,4.87,8218,22.73,690,54899,190900,26.2,90.78,1.6,5.6,0.13,0.69,0,0.96,0.24,440,228,2.77,5.35,0,0,0
42001,2006,Adams County,Pennsylvania,101011,4.87,8304,22.73,690,54899,190900,26.2,90.78,1.6,5.6,0.13,0.69,0,0.96,0.24,442,284,3.42,5.32,0,0,0
42001,2007,Adams County,Pennsylvania,101011,4.87,8389,22.73,690,54899,190900,26.2,90.78,1.6,5.6,0.13,0.69,0,0.96,0.24,419,274,3.27,4.99,0,1,1
42001,2008,Adams County,Pennsylvania,101011,4.87,8474,22.73,690,54899,190900,26.2,90.78,1.6,5.6,0.13,0.69,0,0.96,0.24,391,231,2.73,4.61,0,1,1
42001,2009,Adams County,Pennsylvania,101011,4.87,8560,22.73,690,54899,190900,26.2,90.78,1.6,5.6,0.13,0.69,0,0.96,0.24,363,165,1.93,4.24,0,0,1
42001,2010,Adams County,Pennsylvania,101407,5.56,8645,22.74,798,58465,204000,29.3,90.56,1.43,6.03,0.14,0.73,0.02,1.02,0.08,461,202,2.34,5.33,0,0,1
42001,2011,Adams County,Pennsylvania,101767,5.83,8795,22.67,838,60356,193100,30.4,89.85,1.48,6.5,0.09,0.73,0,1.32,0.03,443,181,2.06,5.04,0,0,1
42001,2012,Adams County,Pennsylvania,101767,5.83,8944,22.67,838,60356,193100,30.4,89.85,1.48,6.5,0.09,0.73,0,1.32,0.03,421,147,1.64,4.71,0,0,1
42001,2013,Adams County,Pennsylvania,101767,5.83,9094,22.67,838,60356,193100,30.4,89.85,1.48,6.5,0.09,0.73,0,1.32,0.03,514,171,1.88,5.65,0,0,1
42001,2014,Adams County,Pennsylvania,101767,5.83,9244,22.67,838,60356,193100,30.4,89.85,1.48,6.5,0.09,0.73,0,1.32,0.03,412,154,1.67,4.46,0,0,1
42001,2015,Adams County,Pennsylvania,101767,5.83,9393,22.67,838,60356,193100,30.4,89.85,1.48,6.5,0.09,0.73,0,1.32,0.03,381,155,1.65,4.06,0,0,1
42001,2016,Adams County,Pennsylvania,101767,5.83,9543,22.67,838,60356,193100,30.4,89.85,1.48,6.5,0.09,0.73,0,1.32,0.03,227,82,0.86,2.38,1,0,1
42003,2000,Allegheny County,Pennsylvania,1281666,11.19,177106,32.97,516,38329,84200,25.5,83.81,12.33,0.87,0.11,1.69,0.02,0.99,0.18,13413,6904,3.9,7.57,0,0,0
42003,2001,Allegheny County,Pennsylvania,1281666,11.19,178252,32.97,516,38329,84200,25.5,83.81,12.33,0.87,0.11,1.69,0.02,0.99,0.18,14642,7455,4.18,8.21,0,0,0
42003,2002,Allegheny County,Pennsylvania,1281666,11.19,179399,32.97,516,38329,84200,25.5,83.81,12.33,0.87,0.11,1.69,0.02,0.99,0.18,14595,7939,4.43,8.14,0,0,0
42003,2003,Allegheny County,Pennsylvania,1281666,11.19,180544,32.97,516,38329,84200,25.5,83.81,12.33,0.87,0.11,1.69,0.02,0.99,0.18,14645,8252,4.57,8.11,0,0,0
42003,2004,Allegheny County,Pennsylvania,1281666,11.19,181691,32.97,516,38329,84200,25.5,83.81,12.33,0.87,0.11,1.69,0.02,0.99,0.18,13671,7750,4.27,7.52,0,0,0
42003,2005,Allegheny County,Pennsylvania,1222473,8.71,182837,32.94,676,46641,110300,29,82.19,12.48,1.36,0.11,2.33,0.02,1.31,0.21,13577,7079,3.87,7.43,0,0,0
42003,2006,Allegheny County,Pennsylvania,1222473,8.71,183982,32.94,676,46641,110300,29,82.19,12.48,1.36,0.11,2.33,0.02,1.31,0.21,14126,9803,5.33,7.68,0,0,0
42003,2007,Allegheny County,Pennsylvania,1222473,8.71,185130,32.94,676,46641,110300,29,82.19,12.48,1.36,0.11,2.33,0.02,1.31,0.21,13003,3462,1.87,7.02,0,0,1
